LA-MOC-Lung-1_S1_L001	LA-MOC-Lung-1_S1_L002	LA-MOC-Lung-2_S2_L001	LA-MOC-Lung-2_S2_L002	LA-MOC-Lung-3_S3_L001	LA-MOC-Lung-3_S3_L002	LA-MOC-Lung-4_S4_L001	LA-MOC-Lung-4_S4_L002	LA-MOC-Lung-5_S5_L001	LA-MOC-Lung-5_S5_L002	LA-MOC-Tongue-1_S16_L001	LA-MOC-Tongue-1_S16_L002	LA-MOC-Tongue-2_S17_L001	LA-MOC-Tongue-2_S17_L002	LA-MOC-Tongue-3_S18_L001	LA-MOC-Tongue-3_S18_L002	LA-MOC-Tongue-4_S19_L001	LA-MOC-Tongue-4_S19_L002	LA-MOC-Tongue-5_S20_L001	LA-MOC-Tongue-5_S20_L002	PBS-Lung-1_S6_L001	PBS-Lung-1_S6_L002	PBS-Lung-2_S7_L001	PBS-Lung-2_S7_L002	PBS-Lung-3_S8_L001	PBS-Lung-3_S8_L002	PBS-Lung-4_S9_L001	PBS-Lung-4_S9_L002	PBS-Lung-5_S10_L001	PBS-Lung-5_S10_L002	PBS-Tongue-1_S21_L001	PBS-Tongue-1_S21_L002	PBS-Tongue-2_S22_L001	PBS-Tongue-2_S22_L002	PBS-Tongue-3_S23_L001	PBS-Tongue-3_S23_L002	PBS-Tongue-4_S24_L001	PBS-Tongue-4_S24_L002	PBS-Tongue-5_S25_L001	PBS-Tongue-5_S25_L002	pm-1-24hr_S35_L001	pm-1-24hr_S35_L002	pm-2-24hr_S36_L001	pm-2-24hr_S36_L002	pm-over-s-24hr_S51_L001	pm-over-s-24hr_S51_L002	pm-over-vp-24hr_S46_L001	pm-over-vp-24hr_S46_L002	pm-split-s-24hr_S48_L001	pm-split-s-24hr_S48_L002	pm-split-vp-24hr_S43_L001	pm-split-vp-24hr_S43_L002	s-1-24hr_S31_L001	s-1-24hr_S31_L002	s-2-24hr_S32_L001	s-2-24hr_S32_L002	s-mid-over-pm-24hr_S50_L001	s-mid-over-pm-24hr_S50_L002	s-over-pm-24hr_S49_L001	s-over-pm-24hr_S49_L002	s-over-vp-24hr_S41_L001	s-over-vp-24hr_S41_L002	s-split-pm-24hr_S47_L001	s-split-pm-24hr_S47_L002	s-split-vp-24hr_S38_L001	s-split-vp-24hr_S38_L002	UA-MOC-Lung-1_S11_L001	UA-MOC-Lung-1_S11_L002	UA-MOC-Lung-2_S12_L001	UA-MOC-Lung-2_S12_L002	UA-MOC-Lung-3_S13_L001	UA-MOC-Lung-3_S13_L002	UA-MOC-Lung-4_S14_L001	UA-MOC-Lung-4_S14_L002	UA-MOC-Lung-5_S15_L001	UA-MOC-Lung-5_S15_L002	UA-MOC-Tongue-1_S26_L001	UA-MOC-Tongue-1_S26_L002	UA-MOC-Tongue-2_S27_L001	UA-MOC-Tongue-2_S27_L002	UA-MOC-Tongue-3_S28_L001	UA-MOC-Tongue-3_S28_L002	UA-MOC-Tongue-4_S29_L001	UA-MOC-Tongue-4_S29_L002	UA-MOC-Tongue-5_S30_L001	UA-MOC-Tongue-5_S30_L002	vp-1-24hr_S33_L001	vp-1-24hr_S33_L002	vp-2-24hr_S34_L001	vp-2-24hr_S34_L002	vp-mid-over-pm-24hr_S45_L001	vp-mid-over-pm-24hr_S45_L002	vp-mid-over-s-24hr_S40_L001	vp-mid-over-s-24hr_S40_L002	vp-over-pm-24hr_S44_L001	vp-over-pm-24hr_S44_L002	vp-over-s-24hr_S39_L001	vp-over-s-24hr_S39_L002	vp-split-pm-24hr_S42_L001	vp-split-pm-24hr_S42_L002	vp-split-s-24hr_S37_L001	vp-split-s-24hr_S37_L002
Streptococcus mitis	2	4	2	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	16087	16958	16278	17013	10241	10530	17439	18014	18586	19049	18027	18545	15110	15786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	11067	11608	1	0	28	28	0	1	3	3
Prevotella melaninogenica	1	2	4	0	0	0	3	1	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8485	8778	8407	8626	8012	8208	7608	7857	7640	7756	9037	9416	0	0	0	1	4199	4267	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	7172	7474	0	0	0	0	0	0	0	0	3	5
[Haemophilus] ducreyi	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmata sp. SH-PL17	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crassaminicella sp. 143-21	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmonella enterica	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidianus manzaensis	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. E2-28	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicella mallensis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusarium oxysporum	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
